#label,component_name,tag,footprint,vendor
######## resistance ########,,,,
mosfet,SSM3J134TU,p,,
mosfet,SSM3J135TU,p,,
mosfet,SSM3J14T,p,,
mosfet,SSM3J15CT,p,,
mosfet,SSM3J15FS,p,,
mosfet,SSM3J15FU,p,,
mosfet,SSM3J15FV,p,,
mosfet,SSM3J15F,p,,
mosfet,SSM3J16CT,p,,
mosfet,SSM3J16FS,p,,
mosfet,SSM3J16FU,p,,
mosfet,SSM3J16FV,p,,
mosfet,SSM3J304T,p,,
mosfet,SSM3J305T,p,,
mosfet,SSM3J306T,p,,
mosfet,SSM3J307T,p,,
mosfet,SSM3J314T,p,,
mosfet,SSM3J321T,p,,
mosfet,SSM3J325F,p,,
mosfet,SSM3J326T,p,,
mosfet,SSM3J327F,p,,
mosfet,SSM3J327R,p,,
mosfet,SSM3J328R,p,,
mosfet,SSM3J331R,p,,
mosfet,SSM3J332R,p,,
mosfet,SSM3J334R,p,,
mosfet,SSM3J35CT,p,,
mosfet,SSM3J35FS,p,,
mosfet,SSM3J35MFV,p,,
mosfet,SSM3J36FS,p,,
mosfet,SSM3J36MFV,p,,
mosfet,SSM3J36TU,p,,
mosfet,SSM3J46CTB,p,,
mosfet,SSM3J56MFV,p,,
mosfet,SSM6J08FU,p,,
mosfet,SSM6J205FE,p,,
mosfet,SSM6J206FE,p,,
mosfet,SSM6J207FE,p,,
mosfet,SSM6J212FE,p,,
mosfet,SSM6J213FE,p,,
mosfet,SSM6J214FE,p,,
mosfet,SSM6J215FE,p,,
mosfet,SSM6J216FE,p,,
mosfet,SSM6J23FE,p,,
mosfet,SSM6J25FE,p,,
mosfet,SSM6J26FE,p,,
mosfet,SSM6J401TU,p,,
mosfet,SSM6J402TU,p,,
mosfet,SSM6J409TU,p,,
mosfet,SSM6J410TU,p,,
mosfet,SSM6J412TU,p,,
mosfet,SSM6J414TU,p,,
mosfet,SSM6J501NU,p,,
mosfet,SSM6J502NU,p,,
mosfet,SSM6J503NU,p,,
mosfet,SSM6J505NU,p,,
mosfet,SSM6J50TU,p,,
mosfet,SSM6J53FE,p,,
mosfet,TJ100F04M3L,p,,
mosfet,TJ100F06M3L,p,,
mosfet,TJ10S04M3L,p,,
mosfet,TJ11A10M3,p,,
mosfet,TJ150F04M3L,p,,
mosfet,TJ150F06M3L,p,,
mosfet,TJ15P04M3,p,,
mosfet,TJ15S06M3L,p,,
mosfet,TJ20A10M3,p,,
mosfet,TJ20S04M3L,p,,
mosfet,TJ30S06M3L,p,,
mosfet,TJ40S04M3L,p,,
mosfet,TJ50S06M3L,p,,
mosfet,TJ60S04M3L,p,,
mosfet,TJ60S06M3L,p,,
mosfet,TJ70A06J3,p,,
mosfet,TJ80S04M3L,p,,
mosfet,TJ8S06M3L,p,,
mosfet,TJ9A10M3,p,,
mosfet,TPC6109-H,p,,
mosfet,TPC6110,p,,
mosfet,TPC6111,p,,
mosfet,TPC6113,p,,
mosfet,TPC6130,p,,
mosfet,TPC8120,p,,
mosfet,TPC8123,p,,
mosfet,TPC8124,p,,
mosfet,TPC8125,p,,
mosfet,TPC8126,p,,
mosfet,TPC8127,p,,
mosfet,TPC8128,p,,
mosfet,TPC8129,p,,
mosfet,TPC8132,p,,
mosfet,TPC8133,p,,
mosfet,TPC8134,p,,
mosfet,TPCA8109,p,,
mosfet,TPCA8120,p,,
mosfet,TPCA8121,p,,
mosfet,TPCA8128,p,,
mosfet,TPCA8131,p,,
mosfet,TPCC8103,p,,
mosfet,TPCC8104,p,,
mosfet,TPCC8105,p,,
mosfet,TPCC8106,p,,
mosfet,TPCC8107,p,,
mosfet,TPCC8131,p,,
mosfet,TPCC8136,p,,
mosfet,TPCC8137,p,,
mosfet,TPCC8138,p,,
mosfet,TPCF8101,p,,
mosfet,TPCF8105,p,,
mosfet,TPCF8107,p,,
mosfet,TPCF8108,p,,
mosfet,TPCF8305,p,,
mosfet,TPCF8306,p,,
mosfet,TPCP8102,p,,
mosfet,TPCP8103-H,p,,
mosfet,TPCP8105,p,,
mosfet,TPCP8106,p,,
mosfet,TPCP8107,p,,
mosfet,TPCP8109,p,,
mosfet,TPCP8110,p,,
mosfet,TPCP8111,p,,
